Name,Date,Distance,Time
Frodo,1/12/2024,9.65,102.78
Frodo,1/12/2024,3.94,40.78
Frodo,1/13/2024,8.15,67.43
Frodo,1/20/2024,6.92,82.76
Frodo,1/23/2024,8.57,74.49
Frodo,2/29/2024,8.43,92.47
Frodo,2/29/2024,1.25,14.99
Frodo,2/10/2024,9.33,76.25
Frodo,2/10/2024,7.33,87.57
Frodo,2/19/2024,8.21,88.51
Frodo,2/24/2024,0.67,5.94
Frodo,2/4/2024,7.4,59.43
Frodo,2/17/2024,4.26,37.69
Frodo,2/9/2024,0.62,6.11
Frodo,3/4/2024,7.52,68.63
Frodo,3/4/2024,1.04,8.72
Frodo,3/13/2024,3.43,33.56
Frodo,3/13/2024,4.35,42.46
Frodo,3/11/2024,0.88,10.44
Frodo,3/20/2024,1.32,13.39
Frodo,3/18/2024,4.37,40.4
Frodo,3/25/2024,8.64,94.72
Frodo,3/15/2024,9.97,102.45
Frodo,3/28/2024,0.72,7.47
Frodo,3/28/2024,1.01,8.35
Frodo,4/9/2024,9,91.18
Frodo,4/9/2024,6.07,64.28
Frodo,4/3/2024,1.24,13.19
Frodo,4/19/2024,5.17,58.72
Frodo,4/5/2024,5.34,54.45
Frodo,5/9/2024,4.78,54.05
Frodo,5/9/2024,2.84,33.45
Frodo,5/24/2024,9.31,105.75
Frodo,5/4/2024,5.89,63.61
Frodo,5/19/2024,6.89,61.53
Frodo,5/21/2024,4.25,50.02
Frodo,5/5/2024,1.37,11.78
Frodo,5/13/2024,6.13,67.06
Frodo,5/8/2024,7.7,72.05
Frodo,5/12/2024,6.26,53.75
Frodo,5/12/2024,3.15,26.95
Frodo,5/15/2024,8.4,72.72
Frodo,5/15/2024,4.65,39.91
Frodo,5/17/2024,2.12,18.15
Frodo,5/6/2024,3.72,37.72
Frodo,5/26/2024,8.22,70.26
Frodo,5/28/2024,2.88,31.45
Frodo,5/28/2024,5.04,45.53
Frodo,5/18/2024,9.17,76.67
Frodo,5/16/2024,8.61,80.7
